organism=Escherichia_coli_300_genomes	genome=GCF_000284495.1_ASM28449v1	contig=NC_011993.1	method=probabilistic complexity
position	complexity
1232	0
2931	0
4041	0.09090909090909093
5046	0.1760540184453228
5632	0.2577206851119894
6805	0.12166666666666669
8275	0.04
9160	0
9942	0
10730	0
11315	0.06666666666666667
12847	0.12916666666666665
14459	0.5601641414141414
16276	0.5552398989898989
17423	0.429348633392751
18928	0.33843954248366015
20376	0.3901088588588589
21474	1.4443456614509238
22151	1.547475106685633
23082	0.2098515519568151
25004	0.02564102564102564
26659	0
27238	0
27940	0.07500000000000001
28938	0.125
29600	0.07500000000000001
30354	0.07500000000000001
31795	0.07500000000000001
33997	0.225
36066	0.2
36678	0.07500000000000001
37371	0.07500000000000001
38649	0.1
40107	0.125
41415	0.1
42774	0.05
44389	0.07500000000000001
45259	0.05
46424	0
47207	0
48075	0.05
49114	0.07500000000000001
50303	0.125
51610	0.27499999999999997
52107	0.225
52384	0.225
52962	0.27499999999999997
53581	0.05
54183	0
55085	0.025
56223	0.05
58096	0.025
59902	0.05
60790	0.07500000000000001
62585	0.05
65378	0.05
66976	0.025
68190	0.025
69802	0.05
71413	0.2
72775	0.15
73417	0.15
74165	0.125
75010	0.025
76148	0.07500000000000001
77420	0.15
78903	0.15
79885	0.1
80361	0.15
81375	0.1
82623	0.07500000000000001
83954	0.07500000000000001
86048	0.1
87700	0.07500000000000001
88810	0.05
89738	0.05
91071	0.025
91772	0.025
92422	0.07500000000000001
93504	0.05
95117	0.05
96537	0.025
97751	0.025
98953	0.025
100233	0
101385	0
102710	0
103901	0
104778	0
105821	0
107088	0
108223	0.025
109130	0.07500000000000001
110838	0.175
112450	0.125
112835	0.07500000000000001
113315	0
113997	0.05
115053	0.07500000000000001
116211	0.07500000000000001
117494	0.1
118417	0.07500000000000001
119287	0.05
120097	0.025
120797	0.05
121952	0.07500000000000001
127459	0.025
129333	0.025
131626	0.025
133492	0.025
135318	0.07500000000000001
137844	0.05
139499	0.05
140115	0.025
140961	0
141654	0.025
142788	0.05
145023	0.07500000000000001
146686	0.07500000000000001
147332	0
148235	0
149080	0
149790	0
150688	0.025
151497	0.1
152403	0.2
153352	0.125
